12168 //  10-Yard Fight //  $6.15 //  $31.49 //  $435.55 // 
12191 //  Back to the Future II and III //  $10.66 //  $46.55 //  $158.13 // 
12192 //  Bad Dudes //  $5.97 //  $24.97 //  $109.60 // 
12193 //  Bad News Baseball //  $9.61 //  $28.14 //  $113.04 // 
12194 //  Bad Street Brawler //  $9.87 //  $28.62 //  $66.86 // 
11981 //  Balloon Fight //  $16.38 //  $84.50 //  $837.26 // 
37983 //  Balloon Fight [5 Screw] //  $21.73 //  $164.17 //  $252.15 // 
12195 //  Bandai Golf Challenge Pebble Beach //  $3.83 //  $10.69 //  $29.86 // 
13109 //  Bandit Kings of Ancient China //  $77.98 //  $157.67 //  $344.79 // 
8554 //  Barbie //  $8.99 //  $14.95 //  $126.32 // 
8559 //  "Bards Tale" //  $16.52 //  $32.34 //  $106.28 // 
8560 //  "Barker Bills Trick Shooting" //  $8.12 //  $15.99 //  $48.25 // 
11982 //  Baseball //  $5.44 //  $22.43 //  $458.74 // 
13843 //  Baseball Simulator 1.000 //  $7.86 //  $15.59 //  $81.51 // 
12198 //  Baseball Stars //  $9.03 //  $27.99 //  $123.94 // 
8562 //  Baseball Stars 2 //  $15.20 //  $35.00 //  $71.02 // 
37966 //  Baseball [5 Screw] //  $6.13 //  $42.07 //  $50.71 // 
8564 //  Bases Loaded //  $4.42 //  $12.41 //  $78.81 // 
8565 //  Bases Loaded 2 Second Season //  $3.86 //  $13.50 //  $49.05 // 
12199 //  Bases Loaded 3 //  $2.89 //  $15.59 //  $55.63 // 
8566 //  Bases Loaded 4 //  $39.84 //  $109.99 //  $330.67 // 
8574 //  Batman Returns //  $17.19 //  $50.00 //  $202.50 // 
13844 //  Batman The Video Game //  $8.74 //  $35.50 //  $249.95 // 
8570 //  Batman: Return of the Joker //  $37.15 //  $113.25 //  $194.97 // 
12200 //  Battle Chess //  $5.75 //  $19.70 //  $30.81 // 
12201 //  Battle of Olympus //  $10.20 //  $32.67 //  $117.49 // 
8582 //  Battleship //  $13.00 //  $28.80 //  $36.00 // 
12202 //  Battletank //  $8.11 //  $24.00 //  $26.01 // 
8586 //  Battletoads //  $17.94 //  $63.11 //  $354.99 // 
8588 //  Battletoads and Double Dragon The Ultimate Team //  $71.13 //  $219.95 //  $690.00 // 
12203 //  Bee 52 //  $11.82 //  $31.27 //  $49.51 // 
12204 //  BeetleJuice //  $19.02 //  $53.60 //  $157.86 // 
8600 //  Best of the Best Championship Karate //  $40.56 //  $119.95 //  $235.00 // 
8603 //  Bible Adventures //  $11.22 //  $33.93 //  $85.50 // 
12205 //  Bible Buffet //  $55.00 //  $70.06 //  $150.01 // 
12106 //  Big Nose Freaks Out //  $70.01 //  $109.01 //  $173.96 // 
39520 //  Big Nose Freaks Out [Aladdin] //  $3.25 //  $10.52 //  $31.00 // 
16129 //  Big Nose the Caveman //  $11.95 //  $30.99 //  $54.05 // 
12206 //  Bigfoot //  $6.24 //  $19.78 //  $58.98 // 
8607 //  "Bill Elliotts NASCAR Challenge" //  $7.55 //  $17.65 //  $32.34 // 
8606 //  "Bill and Teds Excellent Video Game" //  $8.83 //  $31.45 //  $137.86 // 
12107 //  Bionic Commando //  $9.99 //  $45.00 //  $195.71 // 
12108 //  Black Bass //  $6.20 //  $20.14 //  $59.74 // 
12109 //  Blackjack //  $39.97 //  $79.99 //  $127.50 // 
8614 //  Blades of Steel //  $5.99 //  $20.00 //  $130.55 // 
39515 //  Blades of Steel [Classic Series] //  $11.27 //  $45.52 //  $93.77 // 
12110 //  Blaster Master //  $9.40 //  $29.99 //  $145.19 // 
8625 //  Blue Marlin //  $16.98 //  $24.99 //  $124.50 // 
8627 //  Blues Brothers //  $22.97 //  $55.00 //  $109.04 // 
8628 //  Bo Jackson Baseball //  $6.44 //  $19.99 //  $43.00 // 
12111 //  Bomberman //  $16.06 //  $50.30 //  $378.11 // 
8632 //  Bomberman II //  $117.50 //  $235.00 //  $565.01 // 
8636 //  "Bonks Adventure" //  $403.00 //  $1373.37 //  $2799.00 // 
12112 //  Boulder Dash //  $14.47 //  $32.96 //  $111.79 // 
8643 //  "Bram Stokers Dracula" //  $36.84 //  $80.65 //  $279.14 // 
8645 //  Break Time The National Pool Tour //  $9.24 //  $20.99 //  $45.92 // 
12113 //  BreakThru //  $6.71 //  $28.17 //  $803.13 // 
38039 //  Breakthru [5 Screw] //  $8.21 //  $26.00 //  $68.14 // 
14930 //  Bubble Bath Babes //  $1299.99 //  $2499.88 //   // 
11983 //  Bubble Bobble //  $14.95 //  $45.07 //  $403.72 // 
8654 //  Bubble Bobble Part 2 //  $300.00 //  $727.62 //  $5299.99 // 
8658 //  "Bucky OHare" //  $99.99 //  $261.29 //  $678.75 // 
8661 //  Bugs Bunny Birthday Blowout //  $7.57 //  $22.99 //  $187.49 // 
8662 //  Bugs Bunny Crazy Castle //  $9.63 //  $21.24 //  $39.99 // 
12114 //  "Bump n Jump" //  $6.09 //  $20.51 //  $70.24 // 
12115 //  Burai Fighter //  $10.85 //  $27.00 //  $89.81 // 
38006 //  BurgerTime [5 Screw] //  $12.99 //  $230.74 //  $237.67 // 
12116 //  Burgertime //  $12.12 //  $36.94 //  $264.83 // 
12117 //  Cabal //  $8.10 //  $29.99 //  $96.79 // 
8683 //  "Caesars Palace" //  $4.87 //  $12.33 //  $36.73 // 
12118 //  California Games //  $6.73 //  $13.49 //  $102.48 // 
8687 //  California Raisins The Great Escape [Reproduction] //  $48.00 //  $90.00 //  $340.82 // 
14928 //  Caltron 6-in-1 //  $249.93 //  $329.35 //  $387.50 // 
67470 //  Candelabra: Estoscerro [Homebrew] //   //   //   // 
8695 //  Captain America and the Avengers //  $25.99 //  $72.87 //  $386.47 // 
8696 //  Captain Planet and the Planeteers //  $14.75 //  $49.99 //  $85.96 // 
12120 //  Captain Skyhawk //  $3.90 //  $14.99 //  $69.18 // 
12121 //  Casino Kid //  $4.99 //  $14.49 //  $51.00 // 
8701 //  Casino Kid II //  $90.00 //  $177.02 //  $565.53 // 
8702 //  Castelian //  $15.63 //  $42.20 //  $93.39 // 
12122 //  Castle of Deceit //  $76.30 //  $150.66 //  $155.65 // 
12123 //  Castle of Dragon //  $10.07 //  $25.10 //  $95.18 // 
12124 //  Castlequest //  $7.00 //  $22.32 //  $94.88 // 
8704 //  Castlevania //  $21.99 //  $100.00 //  $402.20 // 
11984 //  "Castlevania II Simons Quest" //  $10.94 //  $47.98 //  $623.00 // 
8706 //  "Castlevania III Draculas Curse" //  $25.25 //  $86.67 //  $600.00 // 
38007 //  Castlevania [5 Screw] //  $21.93 //  $258.25 //  $319.49 // 
12126 //  Caveman Games //  $7.38 //  $19.98 //  $183.67 // 
16130 //  Challenge of the Dragon //  $99.26 //  $125.97 //  $259.77 // 
8713 //  Championship Bowling //  $4.46 //  $13.50 //  $34.28 // 
8714 //  Championship Pool //  $12.89 //  $21.76 //  $63.97 // 
14927 //  Cheetahmen II //  $1321.11 //  $1361.90 //  $1387.97 // 
8722 //  Chessmaster //  $4.03 //  $15.93 //  $38.07 // 
8729 //  Chiller //  $51.24 //  $131.92 //  $306.50 // 
12127 //  Chip and Dale Rescue Rangers //  $12.45 //  $48.99 //  $373.33 // 
8730 //  Chip and Dale Rescue Rangers 2 //  $190.78 //  $543.52 //  $1148.36 // 
12128 //  Chubby Cherub //  $59.00 //  $365.25 //  $1033.45 // 
12129 //  Circus Caper //  $9.30 //  $22.62 //  $89.65 // 
12130 //  City Connection //  $7.56 //  $29.79 //  $88.00 // 
12131 //  Clash at Demonhead //  $15.00 //  $38.99 //  $99.99 // 
12132 //  Classic Concentration //  $7.90 //  $16.09 //  $70.00 // 
38378 //  Cleaning Kit //  $7.97 //  $11.83 //  $28.40 // 
8738 //  Cliffhanger //  $44.20 //  $80.93 //  $188.90 // 
12133 //  Clu Clu Land //  $26.12 //  $311.82 //  $997.82 // 
12134 //  Cobra Command //  $5.34 //  $19.99 //  $138.71 // 
8743 //  Cobra Triangle //  $6.50 //  $23.96 //  $113.55 // 
8747 //  Code Name Viper //  $6.85 //  $26.62 //  $48.21 // 
8753 //  Color A Dinosaur //  $83.61 //  $317.73 //  $804.75 // 
12135 //  Commando //  $6.09 //  $32.99 //  $159.93 // 
37997 //  Commando [5 Screw] //  $5.47 //  $34.99 //  $67.20 // 
12136 //  Conan the Mysteries of Time //  $46.08 //  $88.75 //  $294.08 // 
12137 //  Conflict //  $12.82 //  $29.69 //  $82.80 // 
12138 //  Conquest of the Crystal Palace //  $24.92 //  $89.43 //  $216.59 // 
12139 //  Contra //  $23.84 //  $68.53 //  $849.99 // 
12140 //  Contra Force //  $80.22 //  $396.98 //  $3000.00 // 
37258 //  Control Deck Test Cartridge //  $464.74 //   //   // 
8764 //  Cool World //  $45.04 //  $127.49 //  $374.81 // 
12142 //  Cowboy Kid //  $250.00 //  $525.00 //  $1060.58 // 
12143 //  "Crash n the Boys: Street Challenge" //  $29.99 //  $57.50 //  $219.99 // 
8786 //  Crystal Mines //  $19.99 //  $39.50 //  $100.01 // 
12144 //  Crystalis //  $11.96 //  $42.47 //  $200.00 // 
8794 //  Cyberball //  $12.04 //  $23.45 //  $71.10 // 
8796 //  Cybernoid The Fighting Machine //  $5.22 //  $13.23 //  $44.38 // 
12145 //  Cyberstadium Series Base Wars //  $8.45 //  $19.88 //  $44.49 // 
8801 //  Dance Aerobics //  $3.86 //  $13.81 //  $32.00 // 
8804 //  "Danny Sullivans Indy Heat" //  $17.28 //  $43.94 //  $144.99 // 
8808 //  Darkman //  $18.04 //  $42.82 //  $99.99 // 
8810 //  Darkwing Duck //  $38.39 //  $122.50 //  $499.99 // 
12146 //  Dash Galaxy in the Alien Asylum //  $5.98 //  $17.50 //  $47.49 // 
8817 //  "Day Dreamin Davey" //  $14.63 //  $39.92 //  $166.80 // 
8818 //  Days Of Thunder //  $5.87 //  $15.79 //  $46.40 // 
12147 //  Deadly Towers //  $4.36 //  $23.01 //  $60.75 // 
38022 //  Deadly Towers [5 Screw] //  $15.63 //  $25.99 //  $129.65 // 
12148 //  Death Race //  $34.97 //  $74.19 //  $184.39 // 
12149 //  Deathbots //  $15.13 //  $39.31 //  $72.55 // 
12150 //  Defender II //  $6.00 //  $19.22 //  $38.88 // 
12151 //  Defender of the Crown //  $5.90 //  $19.88 //  $54.21 // 
8836 //  Defenders of Dynatron City //  $30.07 //  $69.00 //  $220.05 // 
12152 //  Deja Vu //  $10.66 //  $20.07 //  $56.09 // 
12153 //  Demon Sword //  $8.65 //  $21.98 //  $107.45 // 
12154 //  Desert Commander //  $7.50 //  $22.49 //  $58.57 // 
12155 //  Destination Earthstar //  $4.28 //  $12.99 //  $33.90 // 
12156 //  Destiny of an Emperor //  $26.23 //  $53.79 //  $246.21 // 
12157 //  Dick Tracy //  $6.12 //  $27.48 //  $148.77 // 
8841 //  Die Hard //  $99.99 //  $239.77 //  $301.77 // 
12159 //  Dig Dug II: Trouble in Paradise //  $7.80 //  $22.47 //  $123.52 // 
12160 //  Digger T Rock //  $15.40 //  $48.70 //  $110.00 // 
12161 //  Dirty Harry //  $7.94 //  $21.47 //  $63.58 // 
39508 //  Dizzy the Adventurer //  $23.99 //  $109.15 //  $349.28 // 
21555 //  Dogbone Controller //  $18.51 //  $49.99 //  $129.99 // 
11985 //  Donkey Kong //  $23.77 //  $175.19 //  $228.17 // 
12163 //  Donkey Kong 3 //  $13.04 //  $93.11 //  $299.96 // 
37986 //  Donkey Kong 3 [5 Screw] //  $13.99 //  $91.19 //  $188.08 // 
12164 //  Donkey Kong Classics //  $11.73 //  $31.55 //  $269.51 // 
11986 //  Donkey Kong Jr //  $18.54 //  $83.70 //  $220.00 // 
11987 //  Donkey Kong Jr Math //  $84.00 //  $1334.73 //  $1867.50 // 
37968 //  Donkey Kong Jr Math [5 Screw] //  $87.53 //  $1391.66 //  $1391.66 // 
37985 //  Donkey Kong Jr [5 Screw] //  $16.99 //  $162.54 //  $299.00 // 
37984 //  Donkey Kong [5 Screw] //  $28.83 //  $228.71 //  $319.97 // 
12167 //  Double Dare //  $12.28 //  $32.34 //  $102.18 // 
12207 //  Double Dragon //  $9.67 //  $35.82 //  $506.14 // 
12208 //  Double Dragon II //  $9.50 //  $36.99 //  $254.46 // 
12209 //  Double Dragon III //  $10.09 //  $42.89 //  $158.36 // 
11988 //  Double Dribble //  $5.99 //  $15.15 //  $68.61 // 
38023 //  Double Dribble [5 Screw] //  $7.94 //  $10.40 //  $33.28 // 
12210 //  Double Strike //  $15.47 //  $40.99 //  $54.28 // 
12211 //  Dr Chaos //  $6.88 //  $34.00 //  $57.06 // 
12212 //  Dr Jekyll and Mr Hyde //  $16.29 //  $45.68 //  $112.00 // 
8859 //  Dr. Mario //  $6.43 //  $19.95 //  $159.82 // 
8864 //  Dragon Fighter //  $289.99 //  $603.78 //  $653.75 // 
12213 //  Dragon Power //  $7.00 //  $29.99 //  $36.09 // 
12214 //  Dragon Spirit //  $9.00 //  $27.99 //  $89.31 // 
12216 //  Dragon Warrior //  $8.35 //  $37.89 //  $177.13 // 
12215 //  Dragon Warrior II //  $30.00 //  $62.83 //  $224.10 // 
8868 //  Dragon Warrior III //  $59.99 //  $142.13 //  $700.10 // 
8869 //  Dragon Warrior IV //  $66.35 //  $154.61 //  $923.70 // 
12217 //  "Dragons Lair the Legend" //  $17.99 //  $33.28 //  $109.00 // 
12218 //  Duck Hunt //  $8.98 //  $39.98 //  $89.57 // 
37976 //  Duck Hunt [5 Screw] //  $6.99 //  $54.29 //  $74.37 // 
12219 //  Duck Tales //  $15.32 //  $50.95 //  $300.22 // 
8878 //  Duck Tales 2 //  $151.47 //  $365.21 //  $1277.78 // 
34156 //  Duck Tales Gold Cartridge //  $1337.50 //  $1400.00 //  $1415.15 // 
12220 //  Dudes with Attitude //  $8.82 //  $26.30 //  $79.00 // 
12221 //  Dungeon Magic //  $7.37 //  $26.47 //  $85.00 // 
12222 //  "Dusty Diamonds All-Star Softball" //  $50.50 //  $118.48 //  $199.99 // 
8889 //  Dynowarz The Destruction of Spondylus //  $4.62 //  $20.00 //  $75.85 // 
11989 //  Elevator Action //  $8.07 //  $35.02 //  $282.93 // 
38017 //  Elevator Action [5 Screw] //  $9.96 //  $39.99 //  $113.56 // 
8906 //  Eliminator Boat Duel //  $17.66 //  $40.00 //  $122.49 // 
11990 //  Excitebike //  $6.50 //  $37.27 //  $299.99 // 
37977 //  Excitebike [5 Screw] //  $8.87 //  $44.99 //  $112.00 // 
12223 //  Exodus Journey to the Promised Land //  $11.87 //  $24.48 //  $85.86 // 
8928 //  F-117A Stealth Fighter //  $11.25 //  $27.28 //  $150.00 // 
19760 //  F-15 City War //  $7.61 //  $23.34 //  $44.99 // 
8929 //  F-15 Strike Eagle //  $8.59 //  $25.00 //  $299.99 // 
8935 //  Family Feud //  $9.85 //  $19.17 //  $35.55 // 
12224 //  Family Fun Fitness Stadium Events //  $10100.00 //  $25567.71 //  $28552.11 // 
12225 //  Fantastic Adventures of Dizzy //  $11.91 //  $25.99 //  $67.54 // 
39521 //  Fantastic Adventures of Dizzy [Aladdin] //  $0.99 //  $0.99 //  $14.00 // 
12226 //  Fantasy Zone //  $23.75 //  $35.22 //  $82.42 // 
8939 //  Faria //  $75.00 //  $142.87 //  $389.99 // 
13717 //  Faxanadu //  $8.59 //  $30.99 //  $195.04 // 
8948 //  Felix the Cat //  $64.00 //  $204.75 //  $471.04 // 
8949 //  Ferrari Grand Prix Challenge //  $8.36 //  $22.47 //  $25.00 // 
8950 //  "Festers Quest" //  $5.82 //  $22.10 //  $119.45 // 
8970 //  Final Fantasy //  $15.79 //  $59.00 //  $1034.95 // 
8975 //  "Fire N Ice" //  $142.15 //  $244.01 //  $510.32 // 
12229 //  Firehawk //  $10.50 //  $23.92 //  $33.55 // 
12230 //  Fisher Price I Can Remember //  $7.04 //  $30.00 //  $61.66 // 
12231 //  Fisher Price Perfect Fit //  $8.73 //  $22.05 //  $100.43 // 
8976 //  Fisher-Price Firehouse Rescue //  $16.49 //  $37.19 //  $142.23 // 
12232 //  Fist of the North Star //  $13.25 //  $68.99 //  $102.51 // 
8981 //  Flight of the Intruder //  $8.34 //  $18.83 //  $51.53 // 
13107 //  Flintstones Surprise at Dinosaur Peak //  $733.23 //  $2033.05 //  $6249.73 // 
8983 //  Flintstones The Rescue of Dino and Hoppy //  $15.98 //  $49.95 //  $324.99 // 
12234 //  Flying Dragon //  $7.80 //  $19.50 //  $68.99 // 
12235 //  Flying Warriors //  $12.99 //  $48.00 //  $100.00 // 
14550 //  Formula One Built To Win //  $15.27 //  $58.47 //  $149.95 // 
12236 //  Frankenstein the Monster Returns //  $68.36 //  $134.46 //  $189.00 // 
12237 //  Freedom Force //  $11.70 //  $26.49 //  $48.00 // 
12238 //  Friday the 13th //  $9.95 //  $47.81 //  $263.00 // 
12239 //  Fun House //  $11.28 //  $28.07 //  $69.98 // 
12240 //  G.I. Joe: A Real American Hero //  $52.05 //  $173.72 //  $560.68 // 
9034 //  GI Joe The Atlantis Factor //  $38.89 //  $72.50 //  $218.00 // 
32330 //  Galactic Crusader //  $35.08 //  $51.35 //  $102.48 // 
11991 //  Galaga: Demons of Death //  $11.31 //  $24.22 //  $95.90 // 
12242 //  Galaxy 5000 //  $19.99 //  $43.75 //  $173.12 // 
52012 //  Galf //  $69.25 //  $74.00 //  $336.70 // 
68608 //  Galf [Gold] //  $706.00 //  $1906.20 //  $5859.80 // 
52013 //  Galf [White] //  $68.59 //  $150.00 //  $173.94 // 
13192 //  Game Genie //  $13.99 //  $27.20 //  $89.24 // 
37040 //  Game Genie Top Loader Adaptor //  $253.58 //  $397.37 //  $1271.59 // 
9012 //  "Gargoyles Quest II The Demon Darkness" //  $65.11 //  $159.19 //  $429.25 // 
12243 //  Gauntlet //  $7.74 //  $20.90 //  $134.41 // 
9013 //  Gauntlet II //  $7.50 //  $21.42 //  $60.85 // 
39511 //  Gauntlet [Gray Cart] //  $9.89 //  $26.99 //  $83.00 // 
9018 //  Gemfire //  $81.73 //  $155.00 //  $469.99 // 
12244 //  Genghis Khan //  $11.00 //  $33.91 //  $108.49 // 
9025 //  "George Foremans KO Boxing" //  $6.97 //  $17.52 //  $50.00 // 
9029 //  Ghost Lion //  $49.92 //  $112.24 //  $249.00 // 
12245 //  Ghostbusters //  $10.92 //  $38.58 //  $123.46 // 
9032 //  Ghostbusters II //  $10.25 //  $37.10 //  $166.77 // 
11992 //  "Ghosts n Goblins" //  $11.25 //  $38.99 //  $700.00 // 
37998 //  "Ghosts n Goblins [5 Screw]" //  $13.00 //  $90.39 //  $143.50 // 
9033 //  Ghoul School //  $22.62 //  $61.68 //  $229.95 // 
12247 //  "Gilligans Island" //  $14.99 //  $34.97 //  $105.00 // 
12248 //  Goal //  $4.94 //  $8.42 //  $22.02 // 
9039 //  Goal Two //  $20.26 //  $44.84 //  $289.87 // 
12249 //  Godzilla //  $16.00 //  $38.00 //  $145.87 // 
9042 //  Godzilla 2 //  $85.00 //  $197.45 //  $900.00 // 
9045 //  "Gold Medal Challenge 92" //  $11.15 //  $29.23 //  $85.28 // 
9050 //  Golf //  $3.51 //  $12.43 //  $19.37 // 
9051 //  Golf Grand Slam //  $14.48 //  $30.67 //  $63.70 // 
37969 //  Golf [5 Screw] //  $6.36 //  $28.75 //  $58.10 // 
12250 //  Golgo 13 Top Secret Episode //  $7.00 //  $21.36 //  $65.48 // 
12251 //  Gotcha //  $5.05 //  $17.99 //  $64.72 // 
39516 //  Gotcha [5 Screw] //  $377.10 //  $978.10 //  $3129.93 // 
11993 //  Gradius //  $10.57 //  $37.77 //  $306.94 // 
37999 //  Gradius [5 Screw] //  $9.73 //  $54.53 //  $122.84 // 
9063 //  Great Waldo Search //  $14.03 //  $44.00 //  $70.51 // 
9068 //  "Greg Normans Golf Power" //  $11.55 //  $23.74 //  $76.68 // 
12252 //  Gremlins 2 //  $12.99 //  $36.10 //  $60.04 // 
12253 //  Guerrilla War //  $9.20 //  $27.87 //  $123.03 // 
12254 //  Gumshoe //  $9.10 //  $67.98 //  $695.99 // 
37990 //  Gumshoe [5 Screw] //  $10.00 //  $61.53 //  $100.90 // 
12255 //  Gun-Nac //  $213.64 //  $453.78 //  $719.34 // 
12256 //  Gun.Smoke //  $13.91 //  $40.50 //  $235.37 // 
68556 //  Gun.Smoke [Bar] //  $10.00 //  $84.00 //  $175.90 // 
12257 //  Gyromite //  $5.99 //  $57.55 //  $64.39 // 
37970 //  Gyromite [5 Screw] //  $6.99 //  $46.71 //  $77.29 // 
37958 //  Gyromite [ROB Bundle] //  $203.78 //  $395.59 //  $1691.38 // 
12258 //  Gyruss //  $8.32 //  $23.49 //  $120.28 // 
12259 //  Harlem Globetrotters //  $10.00 //  $20.49 //  $68.99 // 
9097 //  Hatris //  $18.99 //  $39.49 //  $126.37 // 
12260 //  Heavy Barrel //  $12.37 //  $39.99 //  $130.05 // 
12261 //  "Heavy Shreddin" //  $5.94 //  $17.78 //  $74.00 // 
9109 //  High Speed //  $8.73 //  $19.95 //  $45.41 // 
12262 //  "Hogans Alley" //  $6.57 //  $24.99 //  $176.25 // 
37971 //  "Hogans Alley [5 Screw]" //  $8.82 //  $30.74 //  $81.54 // 
9115 //  Hollywood Squares //  $5.45 //  $17.99 //  $33.11 // 
58103 //  Holy Diver [Collectors Edition] //  $21.72 //  $56.19 //  $89.95 // 
9117 //  Home Alone //  $10.99 //  $28.78 //  $81.00 // 
9119 //  Home Alone 2 Lost In New York //  $7.65 //  $19.99 //  $65.78 // 
9121 //  Hook //  $8.03 //  $22.12 //  $118.09 // 
12263 //  Hoops //  $3.28 //  $9.98 //  $32.98 // 
14931 //  Hot Slots //  $1190.89 //  $1200.15 //  $3000.00 // 
9132 //  Hudson Hawk //  $12.46 //  $29.80 //  $63.95 // 
9133 //  Hunt for Red October //  $5.23 //  $16.00 //  $49.66 // 
12264 //  Hydlide //  $5.21 //  $20.30 //  $57.91 // 
11994 //  Ice Climber //  $15.92 //  $149.96 //  $450.52 // 
37972 //  Ice Climber [5 Screw] //  $15.18 //  $177.62 //  $206.96 // 
11995 //  Ice Hockey //  $4.13 //  $14.82 //  $124.95 // 
12265 //  Ikari Warriors //  $6.62 //  $24.95 //  $82.46 // 
12266 //  Ikari Warriors II //  $9.06 //  $26.45 //  $123.39 // 
12267 //  Ikari Warriors III //  $22.99 //  $53.03 //  $214.49 // 
38008 //  Ikari Warriors [5 Screw] //  $8.37 //  $37.92 //  $98.03 // 
12268 //  Image Fight //  $13.05 //  $53.00 //  $71.54 // 
9138 //  Immortal //  $10.37 //  $29.99 //  $70.00 // 
12269 //  Impossible Mission II //  $18.30 //  $25.32 //  $46.66 // 
44966 //  Impossible Mission II [AVE] //  $12.20 //  $30.85 //  $88.30 // 
39510 //  Impossible Mission II [SEI] //  $28.01 //  $29.95 //  $165.92 // 
9143 //  Incredible Crash Dummies //  $15.22 //  $39.99 //  $111.74 // 
12270 //  Indiana Jones and the Last Crusade //  $24.32 //  $62.50 //  $200.01 // 
30748 //  Indiana Jones and the Last Crusade [Ubisoft] //  $88.58 //  $197.21 //  $631.66 // 
