37840 //  3 Count Bout //  $41.31 //  $96.00 //  $195.00 // 
44971 //  Puzzle De Pon //  $45.00 //  $121.00 //  $242.00 // 
37895 //  Puzzled //  $43.13 //  $219.00 //  $438.00 // 
37852 //  Real Bout Fatal Fury //  $41.47 //  $78.57 //  $157.14 // 
37853 //  Real Bout Fatal Fury 2 //  $86.00 //  $91.29 //  $91.43 // 
37854 //  Real Bout Fatal Fury 3 //   //   //   // 
19947 //  Riding Hero //  $51.26 //  $99.28 //  $227.82 // 
39983 //  Robo Army //  $199.95 //  $449.00 //  $898.00 // 
39665 //  SNK vs. Capcom: SVC Chaos //  $294.00 //  $419.99 //  $710.81 // 
35115 //  Samurai Shodown //  $50.04 //  $50.69 //  $137.36 // 
36726 //  Samurai Shodown II //  $59.99 //  $212.31 //  $247.50 // 
37813 //  Samurai Shodown III //  $55.00 //  $75.28 //  $174.06 // 
37822 //  Samurai Shodown IV //  $71.00 //  $153.49 //  $306.98 // 
37824 //  Samurai Shodown V //  $106.17 //  $133.62 //  $267.24 // 
67437 //  Samurai Shodown V Special //   //   //   // 
19952 //  Sengoku //  $66.05 //  $149.95 //  $294.80 // 
19988 //  Sengoku 2 //  $183.48 //  $694.48 //  $1388.96 // 
19989 //  Sengoku 3 //  $249.00 //  $355.99 //  $1081.74 // 
42347 //  Shock Troopers //  $78.91 //  $307.89 //  $615.78 // 
42348 //  Shock Troopers 2nd Squad //  $112.50 //  $247.50 //  $495.00 // 
39663 //  Soccer Brawl //  $49.99 //  $139.50 //  $279.00 // 
42346 //  Street Hoops //   //   //   // 
19945 //  Super Baseball 2020 //  $79.51 //  $173.98 //  $345.94 // 
38514 //  Super Sidekicks //  $50.00 //  $101.07 //  $202.14 // 
38517 //  Super Sidekicks 2 //  $35.17 //  $76.97 //  $152.32 // 
38518 //  Super Sidekicks 3 //  $22.73 //  $48.40 //  $96.80 // 
19946 //  The Super Spy //  $78.00 //  $82.59 //  $165.20 // 
38541 //  Thrash Rally //  $50.00 //  $99.99 //  $199.98 // 
12041 //  Top Hunter Roddy & Cathy //  $163.86 //  $387.00 //  $774.00 // 
35119 //  "Top Players Golf" //  $25.95 //  $85.00 //  $144.86 // 
38576 //  Viewpoint //  $66.47 //  $146.23 //  $299.10 // 
44972 //  Windjammers //  $143.42 //  $199.99 //  $399.98 // 
12042 //  World Heroes //  $31.93 //  $76.55 //  $153.18 // 
35117 //  World Heroes 2 //  $35.22 //  $188.49 //  $383.83 // 
39645 //  World Heroes 2 Jet //  $48.72 //  $96.37 //  $192.74 // 
