37840 //  3 Count Bout //  $41.31 //  $96.00 //  $192.00 // 
37852 //  Real Bout Fatal Fury //  $39.74 //  $78.57 //  $157.14 // 
37853 //  Real Bout Fatal Fury 2 //  $106.86 //  $117.88 //  $235.76 // 
37854 //  Real Bout Fatal Fury 3 //   //   //   // 
19947 //  Riding Hero //  $49.99 //  $101.11 //  $202.22 // 
39983 //  Robo Army //  $199.56 //  $449.00 //  $898.00 // 
39665 //  SNK vs. Capcom: SVC Chaos //  $315.90 //  $710.81 //  $1421.60 // 
35115 //  Samurai Shodown //  $41.61 //  $50.60 //  $137.36 // 
36726 //  Samurai Shodown II //  $51.46 //  $220.21 //  $231.39 // 
37813 //  Samurai Shodown III //  $57.48 //  $75.46 //  $174.06 // 
37822 //  Samurai Shodown IV //  $69.69 //  $149.72 //  $293.60 // 
37824 //  Samurai Shodown V //  $123.84 //  $133.62 //  $267.24 // 
67437 //  Samurai Shodown V Special //   //   //   // 
19952 //  Sengoku //  $71.13 //  $149.95 //  $293.71 // 
19988 //  Sengoku 2 //  $220.00 //  $694.48 //  $1388.96 // 
19989 //  Sengoku 3 //  $248.65 //  $540.87 //  $1081.74 // 
42347 //  Shock Troopers //  $88.32 //  $307.89 //  $615.78 // 
42348 //  Shock Troopers 2nd Squad //  $112.50 //  $247.50 //  $495.00 // 
39663 //  Soccer Brawl //  $49.99 //  $139.50 //  $279.00 // 
42346 //  Street Hoops //   //   //   // 
19945 //  Super Baseball 2020 //  $79.82 //  $166.41 //  $332.82 // 
38514 //  Super Sidekicks //  $50.00 //  $101.07 //  $202.14 // 
38517 //  Super Sidekicks 2 //  $19.99 //  $74.31 //  $148.60 // 
38518 //  Super Sidekicks 3 //  $22.97 //  $48.40 //  $96.80 // 
19946 //  The Super Spy //  $78.00 //  $96.58 //  $193.65 // 
38541 //  Thrash Rally //  $50.00 //  $99.99 //  $199.98 // 
12041 //  Top Hunter Roddy & Cathy //  $162.51 //  $387.00 //  $774.00 // 
35119 //  "Top Players Golf" //  $27.27 //  $85.00 //  $144.86 // 
38576 //  Viewpoint //  $66.47 //  $146.23 //  $299.10 // 
44972 //  Windjammers //  $199.99 //  $199.99 //  $399.98 // 
12042 //  World Heroes //  $30.34 //  $79.36 //  $158.78 // 
35117 //  World Heroes 2 //  $30.00 //  $399.99 //  $449.99 // 
39645 //  World Heroes 2 Jet //  $48.72 //  $96.37 //  $192.74 // 
