14490 //  Aero Blasters //  $50.64 //  $71.40 //  $257.03 // 
32766 //  Dragon Slayer: The Legend of Heroes [Super CD] //  $127.80 //  $151.60 //  $282.07 // 
12059 //  Dragon Spirit //  $28.52 //  $39.41 //  $81.01 // 
12060 //  "Dragons Curse" //  $86.30 //  $138.88 //  $304.96 // 
12061 //  Drop Off //  $25.58 //  $36.00 //  $69.99 // 
12062 //  Dungeon Explorer //  $25.66 //  $31.70 //  $104.46 // 
32778 //  Dungeon Explorer II [Super CD] //  $219.66 //  $245.00 //  $988.47 // 
32774 //  "Dungeon Master: Therons Quest [Super CD]" //  $56.08 //  $63.96 //  $126.22 // 
12063 //  Dynastic Hero [Super CD] //  $525.42 //  $1199.86 //  $2364.39 // 
14440 //  Exile Wicked Phenomenon [Super CD] //  $100.75 //  $199.95 //  $260.50 // 
14855 //  Exile [Super CD] //  $58.77 //  $68.56 //  $129.96 // 
14503 //  Falcon //  $17.72 //  $38.70 //  $46.25 // 
14504 //  Fantasy Zone //  $33.50 //  $40.00 //  $61.42 // 
18560 //  Fighting Street [Super CD] //  $31.12 //  $44.48 //  $51.51 // 
14505 //  Final Lap Twin //  $11.80 //  $19.99 //  $45.21 // 
32772 //  Final Zone II [Super CD] //  $48.94 //  $52.00 //  $104.27 // 
18697 //  Forgotten Worlds [Super CD] //  $90.00 //  $125.33 //  $151.99 // 
12064 //  Galaga 90 //  $24.71 //  $37.39 //  $65.30 // 
12065 //  Gate of Thunder //  $86.93 //  $123.47 //  $123.92 // 
63944 // Gate of thunder, Bonks Adventure, Bonk\s Revenge //   //   //   // 
14506 //  Ghost Manor //  $59.98 //  $126.03 //  $167.50 // 
32788 //  Godzilla [Super CD] //  $190.00 //  $285.31 //  $299.95 // 
14507 //  Gunboat //  $28.48 //  $35.24 //  $56.95 // 
14137 //  Hit the Ice //  $22.00 //  $38.66 //  $68.45 // 
20385 //  Impossamole //  $27.84 //  $45.51 //  $78.47 // 
18578 //  It Came From The Desert [Super CD] //  $30.01 //  $42.21 //  $70.80 // 
32784 //  J.B. Harold Murder Club [Super CD] //  $39.37 //  $56.36 //  $111.34 // 
12066 //  JJ & Jeff //  $19.99 //  $34.25 //  $69.14 // 
14508 //  Jack Nicklaus Turbo Golf //  $15.28 //  $16.95 //  $169.99 // 
38573 //  Jack Nicklaus Turbo Golf [Super CD] //  $33.78 //  $89.99 //  $174.38 // 
14509 //  "Jackie Chans Action Kung Fu" //  $107.30 //  $146.44 //  $274.99 // 
18541 //  John Madden Duo CD Football [Super CD] //  $27.61 //  $64.13 //  $66.37 // 
14510 //  Keith Courage in Alpha Zones //  $7.94 //  $12.66 //  $22.45 // 
14511 //  King Of Casino //  $11.20 //  $14.95 //  $79.01 // 
14512 //  Klax //  $15.08 //  $25.11 //  $90.00 // 
32776 //  Last Alert [Super CD] //  $80.99 //  $89.99 //  $216.99 // 
14513 //  Legend of Hero Tonma //  $497.19 //  $875.00 //  $1415.08 // 
14514 //  Legendary Axe //  $27.45 //  $37.10 //  $125.00 // 
14515 //  Legendary Axe II //  $37.55 //  $50.00 //  $100.13 // 
32765 //  Loom [CD] //  $52.11 //  $70.50 //  $137.50 // 
32770 //  Lords of Thunder [Super CD] //  $99.47 //  $142.50 //  $213.49 // 
32781 //  Lords of the Rising Sun [Super CD] //  $33.11 //  $38.53 //  $113.98 // 
14516 //  Magical Chase //  $1519.04 //  $6361.71 //  $12723.42 // 
18695 //  Magical Dinosaur Tour //  $22.46 //  $35.00 //  $89.76 // 
32764 //  Might and Magic III: Isles of Terra [Super CD] //  $229.21 //  $273.27 //  $858.00 // 
12067 //  Military Madness //  $37.62 //  $51.23 //  $103.99 // 
12068 //  Monster Lair [Super CD] //  $40.40 //  $53.69 //  $59.45 // 
12069 //  Moto Roader //  $17.99 //  $25.49 //  $58.51 // 
12070 //  Neutopia //  $65.00 //  $83.30 //  $155.00 // 
12071 //  Neutopia II //  $135.00 //  $219.45 //  $317.33 // 
12072 //  New Adventure Island //  $81.82 //  $142.51 //  $285.02 // 
14517 //  Night Creatures //  $41.43 //  $58.12 //  $59.99 // 
12073 //  Ninja Spirit //  $47.73 //  $53.79 //  $125.92 // 
14518 //  Order of the Griffon //  $61.26 //  $182.11 //  $364.50 // 
12074 //  Ordyne //  $36.23 //  $55.24 //  $106.61 // 
14519 //  Pac-Land //  $16.59 //  $20.49 //  $47.03 // 
14520 //  Parasol Stars //  $81.32 //  $81.63 //  $290.75 // 
12075 //  Power Golf //  $8.32 //  $13.41 //  $29.99 // 
18624 //  Prince of Persia [Super CD] //  $37.08 //  $47.50 //  $49.99 // 
14521 //  Psychosis //  $58.64 //  $80.10 //  $339.36 // 
12077 //  R-Type //  $40.07 //  $59.99 //  $149.95 // 
14522 //  Raiden //  $68.85 //  $99.00 //  $614.99 // 
12076 //  Riot Zone //  $87.32 //  $93.62 //  $105.79 // 
12078 //  Samurai Ghost //  $71.72 //  $154.90 //  $260.56 // 
32771 //  Shadow of the Beast [Super CD] //  $48.95 //  $59.99 //  $70.53 // 
18696 //  Shape Shifter [Super CD] //  $41.89 //  $56.34 //  $74.97 // 
32780 //  Sherlock Holmes: Consulting Detective Volume II [Super CD] //  $39.99 //  $39.99 //  $47.78 // 
32779 //  Sherlock Holmes: Consulting Detective [Super CD] //  $14.00 //  $19.94 //  $35.85 // 
12079 //  Shockman //  $80.45 //  $188.83 //  $268.71 // 
14523 //  Side Arms //  $25.03 //  $30.99 //  $68.00 // 
12080 //  Silent Debuggers //  $29.20 //  $44.41 //  $59.95 // 
37931 //  Sim Earth the Living Planet [Super CD] //  $34.98 //  $34.99 //  $51.00 // 
14253 //  Sinistron //  $41.77 //  $63.79 //  $210.05 // 
14524 //  Snatcher //  $14.99 //  $19.99 //  $65.44 // 
12081 //  Soldier Blade //  $186.64 //  $262.65 //  $839.88 // 
14525 //  Somer Assault //  $64.89 //  $127.45 //  $261.96 // 
14526 //  Sonic Spike Volleyball //  $13.91 //  $20.92 //  $34.47 // 
32790 //  Sorcerian [Super CD] //   //   //   // 
14527 //  Space Harrier //  $29.73 //  $49.95 //  $128.42 // 
18623 //  Splash Lake [Super CD] //  $23.24 //  $31.45 //  $42.67 // 
12082 //  Splatterhouse //  $64.00 //  $95.54 //  $193.52 // 
12083 //  Super Air Zonk [Super CD] //  $437.08 //  $915.90 //  $1831.80 // 
12084 //  Super Star Soldier //  $76.50 //  $113.33 //  $149.98 // 
14528 //  Super Volleyball //  $11.21 //  $23.68 //  $29.99 // 
32786 //  "Syd Meads Terraforming [Super CD]" //  $590.06 //  $1371.75 //  $2200.19 // 
14536 //  TV Sports Basketball //  $8.77 //  $13.74 //  $23.67 // 
14537 //  TV Sports Football //  $6.36 //  $9.99 //  $27.78 // 
14538 //  TV Sports Hockey //  $9.99 //  $15.00 //  $27.14 // 
14529 //  "Takin it to the Hoop" //  $9.99 //  $10.75 //  $20.49 // 
14530 //  TaleSpin //  $32.23 //  $35.75 //  $84.95 // 
21781 //  The Addams Family [Super CD] //  $25.00 //  $46.31 //  $75.53 // 
33635 //  The Local Girls of Hawaii //  $109.99 //  $132.45 //  $264.90 // 
14531 //  Tiger Road //  $35.24 //  $51.93 //  $95.00 // 
14532 //  Time Cruise //  $45.25 //  $78.00 //  $127.51 // 
14533 //  Timeball //  $20.50 //  $36.99 //  $100.00 // 
33201 //  Toilet Kids [Japan] //  $69.99 //  $154.31 //  $314.30 // 
14534 //  Tricky Kick //  $16.83 //  $20.64 //  $69.69 // 
60974 //  Turbo Booster //  $143.03 //  $169.99 //  $629.78 // 
50117 //  Turbo Stick //   //   //   // 
50116 //  Turbo Tap //  $28.46 //  $37.50 //  $40.00 // 
32768 //  TurboDuo Console //  $516.25 //  $949.76 //  $1899.52 // 
31632 //  TurboExpress //  $280.57 //  $320.18 //  $400.56 // 
55787 //  TurboExpress Car Adapter //   //   //   // 
33818 //  TurboGrafx-16 CD System //  $200.00 //  $440.00 //  $899.45 // 
19984 //  TurboGrafx-16 System //  $124.76 //  $238.46 //  $627.50 // 
40415 //  Turbografx-16 Controller //  $32.86 //  $72.00 //  $144.00 // 
14535 //  Turrican //  $44.56 //  $71.23 //  $200.41 // 
19538 //  Valis II [Super CD] //  $52.50 //  $62.50 //  $300.25 // 
18658 //  Valis III [Super CD] //  $88.75 //  $97.01 //  $101.23 // 
19537 //  Valis: The Fantasm Soldier [Super CD] //  $32.17 //  $34.99 //  $69.97 // 
32789 //  Vasteel II [Super CD] //   //   //   // 
32777 //  Vasteel [Super CD] //  $95.35 //  $126.38 //  $429.08 // 
14539 //  Veigues Tactical Gladiator //  $32.30 //  $50.75 //  $100.75 // 
12085 //  Victory Run //  $11.91 //  $16.45 //  $45.19 // 
12086 //  Vigilante //  $17.99 //  $27.50 //  $55.00 // 
12087 //  World Class Baseball //  $9.00 //  $12.99 //  $24.08 // 
14540 //  World Court Tennis //  $15.30 //  $25.50 //  $47.80 // 
12088 //  World Sports Competition //  $110.43 //  $188.87 //  $324.69 // 
14542 //  Yo Bro //  $25.83 //  $36.54 //  $73.37 // 
18608 //  Ys Books I & II [Super CD] //  $60.32 //  $72.50 //  $353.46 // 
18577 //  Ys III Wanderers from Ys [Super CD] //  $104.12 //  $123.99 //  $242.07 // 
